step,train_loss,eval_rmse,grad_norm,step_time
329,1.328233e-02,,5.554187e-04,0.049
330,1.033504e-02,8.324210e-02,1.508351e-03,0.049
331,1.345089e-02,,9.904596e-04,0.051
332,1.386478e-02,,7.566716e-04,0.049
333,1.423758e-02,,7.783858e-04,0.047
334,1.748838e-02,,1.962407e-03,0.045
335,1.350197e-02,,8.315343e-04,0.048
336,1.440479e-02,,5.522363e-04,0.050
337,1.645540e-02,,1.434180e-03,0.047
338,1.210099e-02,,3.298358e-04,0.048
339,9.065053e-03,,1.648503e-03,0.045
340,1.327009e-02,8.303107e-02,3.132336e-04,0.046
341,1.483104e-02,,7.752046e-04,0.048
342,1.449342e-02,,1.329586e-03,0.049
343,9.933109e-03,,1.363390e-03,0.046
344,1.476674e-02,,6.313759e-04,0.048
345,1.198951e-02,,3.573111e-04,0.051
346,1.245543e-02,,1.041165e-03,0.049
347,1.231577e-02,,7.676482e-04,0.052
348,1.435574e-02,,4.379918e-04,0.053
349,1.244426e-02,,4.090369e-04,0.048
350,1.006882e-02,8.328221e-02,5.372293e-04,0.053
351,1.806381e-02,,8.844454e-04,0.050
352,1.624157e-02,,6.725968e-04,0.047
353,1.719934e-02,,1.524166e-03,0.045
354,1.161016e-02,,6.425493e-04,0.048
355,1.497675e-02,,3.864535e-04,0.049
356,1.659650e-02,,7.648099e-04,0.050
357,1.293482e-02,,6.420656e-04,0.050
358,1.569028e-02,,7.875052e-04,0.051
359,1.418771e-02,,5.849528e-04,0.045
360,1.108352e-02,8.376291e-02,1.327572e-03,0.048
361,1.742954e-02,,1.141364e-03,0.048
362,1.335830e-02,,6.841875e-04,0.048
363,1.350886e-02,,2.922024e-04,0.046
364,1.365624e-02,,2.535670e-04,0.048
365,8.878679e-03,,2.400071e-03,0.047
366,1.099686e-02,,1.440483e-03,0.049
367,1.360910e-02,,5.987865e-04,0.048
368,1.228207e-02,,5.925286e-04,0.048
369,1.231988e-02,,7.446665e-04,0.054
370,1.693202e-02,8.315818e-02,1.000798e-03,0.050
371,1.366127e-02,,4.825713e-04,0.050
372,1.583888e-02,,7.027790e-04,0.051
373,1.380684e-02,,7.552579e-04,0.052
374,1.442952e-02,,7.009274e-04,0.050
375,1.351505e-02,,6.401224e-04,0.051
376,1.357819e-02,,2.232146e-03,0.052
377,1.138347e-02,,1.422457e-03,0.053
378,1.333434e-02,,3.877361e-04,0.049
379,1.460604e-02,,6.551600e-04,0.047
380,1.521950e-02,8.312145e-02,4.488810e-04,0.046
381,1.985815e-02,,1.667517e-03,0.044
382,1.622062e-02,,3.395316e-04,0.048
383,9.439367e-03,,1.240965e-03,0.052
384,1.741160e-02,,1.576991e-03,0.049
385,1.233386e-02,,3.341868e-04,0.047
386,1.497850e-02,,3.824816e-04,0.051
387,1.238740e-02,,7.785829e-04,0.048
388,1.470673e-02,,3.191764e-04,0.049
389,1.558117e-02,,3.231962e-04,0.050
390,1.567689e-02,8.382227e-02,4.975926e-04,0.050
391,1.547946e-02,,8.289678e-04,0.049
392,1.204017e-02,,4.469614e-04,0.050
393,1.230469e-02,,1.099998e-03,0.049
394,1.216023e-02,,4.069070e-04,0.045
395,1.154705e-02,,1.167304e-03,0.049
396,1.241859e-02,,9.325951e-04,0.046
397,1.380517e-02,,4.083354e-04,0.050
398,1.544896e-02,,2.362733e-04,0.050
399,1.429998e-02,,2.348442e-04,0.050
400,1.146827e-02,8.351057e-02,9.763505e-04,0.048
401,1.087310e-02,,1.378914e-03,0.054
402,1.407141e-02,,4.122868e-04,0.050
403,1.573789e-02,,4.598024e-04,0.050
404,1.628782e-02,,8.041500e-04,0.049
405,1.431691e-02,,5.532971e-04,0.051
406,1.289250e-02,,6.464389e-04,0.049
407,1.207524e-02,,5.224499e-04,0.051
408,2.062308e-02,,9.830666e-04,0.045
409,1.396636e-02,,7.290485e-04,0.049
410,1.152705e-02,8.296247e-02,1.039054e-03,0.052
411,1.632822e-02,,5.630991e-04,0.048
412,1.622451e-02,,9.374701e-04,0.051
413,1.179053e-02,,1.751500e-03,0.048
414,1.794723e-02,,1.821182e-03,0.048
415,1.549553e-02,,5.645700e-04,0.050
416,1.620093e-02,,1.098838e-03,0.049
417,1.321578e-02,,9.132735e-04,0.050
418,1.715637e-02,,6.218936e-04,0.046
419,1.268774e-02,,6.728899e-04,0.050
420,1.585689e-02,8.354985e-02,9.191312e-04,0.048
421,1.277081e-02,,5.439609e-04,0.047
422,1.315777e-02,,2.797967e-04,0.045
423,1.425168e-02,,4.489967e-04,0.046
424,9.533914e-03,,3.320937e-03,0.048
425,1.340447e-02,,2.477072e-04,0.051
426,1.519975e-02,,8.714031e-04,0.048
427,1.338915e-02,,3.858442e-04,0.054
428,1.183624e-02,,1.902276e-03,0.054
429,1.422175e-02,,3.934371e-04,0.051
430,1.402657e-02,8.247887e-02,1.079386e-03,0.050
431,1.726921e-02,,1.024582e-03,0.049
432,1.319125e-02,,4.351700e-04,0.052
433,1.168391e-02,,4.663835e-04,0.047
434,1.472309e-02,,2.243146e-04,0.047
435,1.110202e-02,,6.024091e-04,0.047
436,1.076886e-02,,3.556655e-04,0.049
437,9.916905e-03,,5.719441e-04,0.055
438,1.079400e-02,,4.260373e-04,0.046
439,1.732571e-02,,1.406760e-03,0.051
440,1.198690e-02,8.243431e-02,7.945136e-04,0.049
441,1.059702e-02,,1.928828e-03,0.051
442,1.312598e-02,,8.866374e-04,0.052
443,1.053620e-02,,4.303641e-04,0.050
444,1.044571e-02,,3.866074e-04,0.053
445,1.713643e-02,,1.795848e-03,0.049
446,1.615593e-02,,6.752628e-04,0.053
447,1.173933e-02,,4.958131e-04,0.053
448,1.185492e-02,,7.820052e-04,0.053
449,1.663683e-02,,1.588402e-03,0.053
450,1.495758e-02,8.282752e-02,9.130297e-04,0.051
451,1.569885e-02,,8.325106e-04,0.053
452,1.540539e-02,,9.065816e-04,0.048
453,1.093589e-02,,1.054656e-03,0.055
454,1.277712e-02,,5.248504e-04,0.051
455,1.727716e-02,,8.644500e-04,0.052
456,1.350746e-02,,2.860901e-04,0.051
457,1.009871e-02,,7.711171e-04,0.051
458,1.447428e-02,,9.450232e-04,0.050
459,1.732545e-02,,3.539315e-04,0.051
460,1.171850e-02,8.357149e-02,6.378641e-04,0.050
461,1.327215e-02,,4.077987e-04,0.051
462,1.678871e-02,,7.525635e-04,0.048
463,1.302581e-02,,3.193187e-04,0.048
464,1.351760e-02,,2.342263e-04,0.052
465,1.235740e-02,,4.055869e-04,0.054
466,1.147080e-02,,6.588360e-04,0.049
467,1.043046e-02,,6.451443e-04,0.045
468,1.029866e-02,,1.634219e-03,0.046
469,1.351999e-02,,3.594474e-04,0.052
470,1.032473e-02,8.272699e-02,7.795754e-04,0.050
471,1.585628e-02,,4.274377e-04,0.051
472,9.937676e-03,,1.487309e-03,0.052
473,1.193281e-02,,3.528154e-04,0.051
474,1.529170e-02,,1.198683e-03,0.049
475,1.170001e-02,,3.302651e-04,0.052
476,1.288481e-02,,3.730337e-04,0.053
477,1.533363e-02,,9.347393e-04,0.052
478,1.545441e-02,,5.716156e-04,0.056
479,9.666011e-03,,1.068981e-03,0.050
480,1.395110e-02,8.208415e-02,4.728190e-04,0.048
481,1.240701e-02,,3.104378e-04,0.049
482,1.273737e-02,,6.953604e-04,0.049
483,1.550739e-02,,1.328127e-03,0.048
484,9.808425e-03,,4.125680e-04,0.047
485,1.610340e-02,,7.279379e-04,0.051
486,1.169605e-02,,7.560060e-04,0.049
487,9.369663e-03,,1.105296e-03,0.050
488,1.142639e-02,,3.258525e-04,0.052
489,1.299345e-02,,7.311474e-04,0.057
490,1.783824e-02,8.288206e-02,5.401199e-04,0.052
491,2.037416e-02,,1.387594e-03,0.045
492,1.383479e-02,,5.573362e-04,0.050
493,1.347923e-02,,8.190445e-04,0.051
494,1.268656e-02,,9.899331e-04,0.051
495,1.033402e-02,,1.002215e-03,0.049
496,1.460053e-02,,3.781336e-04,0.050
497,1.253309e-02,,8.144482e-04,0.055
498,1.653184e-02,,6.926612e-04,0.054
499,1.412212e-02,,5.588357e-04,0.056
500,1.488202e-02,8.325925e-02,3.769825e-04,0.050
